Proposal number,Study Sponsor(s),Title,Institution,Lead researcher,URL Path
675,Novartis,Validation study on magnitude of tumorshrinkage as a prognostic marker,"Medical School Hannover
Hematologgy, hemostasis, oncology and stemcelltransplantation
Carl-Neuberg-Str. 1
30627 Hannover, Germany",Viktor Grünwald,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14329&GroupID=SUMMARIES
679,GSK,An Epigenetic Analysis of the ALOX5 Gene Related to the Clinical Response to Montelukast,"University of North Carolina at Chapel Hill
Division of Pulmonary and Critical Care Medicine
130 Mason Farm Rd
Chapel Hill NC  27599-7020",Wayne H Anderson,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14330&GroupID=SUMMARIES
681,GSK,"A randomized, double blind, placebo-controlled trial to evaluate the effect of rosiglitazone on metabolic markers in psoriasis patients",Massachusetts General Hospital,Alexa B. Kimball,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14331&GroupID=SUMMARIES
911,GSK,Outcome Measures in Systemic Lupus Erythematosus: Constructing a Meaningful Response Index from Existing Clinical Trial Data,Cedars-Sinai Medical Center,"Lindsy Forbess, MD, MSc",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14332&GroupID=SUMMARIES
918,GSK,Outcomes after Percutaneous Coronary Intervention in Cancer patients with Acute Coronary Syndrome,"New York Medical College, New York, NY.",Partha Sardar MD,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14333&GroupID=SUMMARIES
928,GSK,Lung function and airway inflammation response after ozone exposure 0.25ppm,UNC Hospitals,"Krista Todoric, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14334&GroupID=SUMMARIES
930,GSK,MASTERMIND: Stratification of glycaemic response the ADOPT and RECORD studies,"NIHR Exeter Clinical Research Facility
University of Exeter Medical School
Barrack Road
Exeter
EX2 5DW","Professor Andrew Hattersley, M.D.  FRS",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14335&GroupID=SUMMARIES
945,ViiV,THE CD4/CD8 RATIO AS A PREDICTOR OF NON-AIDS EVENTS DURING ANTIRRETROVIRAL THERAPY: CONFIRMATION OF ITS PREDICTIVE VALUE AND IMPACT OF MARAVIROC IN TREATMENT-EXPERIENCED PATIENTS,University Hospital Ramón y CAjal,Santiago Moreno,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14336&GroupID=SUMMARIES
946,"GSK, Novartis, Roche",Assessing models for changes in tumour size over time and how they relate to survival times.,"Division of Mathematics, University of Dundee, Dundee, UK.",Raluca Eftimie,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14337&GroupID=SUMMARIES
951,GSK,Optimized Eltrombopag Treatment of Hepatitis C virus-related thrombocytopenia,The University of Jordan,Mohammad Saleh,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14338&GroupID=SUMMARIES
955,GSK,A study of subgroup identification and micro aggregation,"National Institute of Statistical Sciences
www.niss.org",S. Stanley Young,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14339&GroupID=SUMMARIES
956,Roche,Bone Quality Project,"University of California, San Francisco",Dennis M. Black,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14278&GroupID=SUMMARIES
976,GSK,5-alpha reductase inhibitor use and risk of lung cancer,"Department of Internal Medicine
University of Manitoba

Department of Medical Oncology and Hematology
Cancercare Manitoba",Marshall Pitz,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14340&GroupID=SUMMARIES
977,GSK,The implication of central adjudication of COPD exacerbations by experts for treatment effect estimates and sample size calculation,"University of Zurich
Institute of Social and Preventive Medicine
Hirschengraben 84
CH-8001 Zurich",Milo Puhan,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14341&GroupID=SUMMARIES
980,GSK,"Association of leukotriene C4 synthase gene (rs730012, -444 A/C) polymorphism with response to leukotriene modifiers treatment in asthma patients","Institute of Epidemiology and Preventive Medicine, National Taiwan University.
Department of Family Medicine, Renai Branch, Taipei City Hospital",Yi-Fan Wu,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14342&GroupID=SUMMARIES
982,ViiV,Pharmacokinetic modeling of dolutegravir in HIV patients.,"National Brain Research Centre,Manesar,Haryana,Gurgaon,India-122050",V P Subramanyam Rallabandi,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14343&GroupID=SUMMARIES
988,Roche,PhD Project: Bayesian Multivariate Network Meta-Analysis of Ordered Categorical Data,School of Health and Related Research (ScHARR) at the University of Sheffield,Fabrizio Messina,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14344&GroupID=SUMMARIES
989,GSK,Assessing at the participant level the applicability of clinical trials to a specific  patient,"Lister Hill National Center for Biomedical Communications, US National Library of Medicine, NIH",Amos Cahan,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14345&GroupID=SUMMARIES
993,GSK,A Spirometric Z-Score Based Reappraisal of the TORCH Study(GSK-SCO30003): Salmeterol and Fluticasone Propionate in COPD.,Yale University School of Medicine,"Carlos A. Vaz Fragoso, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14395&GroupID=SUMMARIES
995,"Boehringer Ingelheim, GSK, Lilly, Roche, Takeda, UCB",Identifying immune modulating patterns across diseases from open clinical trial data,"Institute for Computational Health Sciences
UCSF School of Medicine
Mission Hall - 550 16th St, San Francisco, CA 94158
email:Atul.Butte@ucsf.edu
Phone: 415-514-0511",,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14275&GroupID=SUMMARIES
997,GSK,Predictors of Prostate Cancer Progression Among Men on Active Surveillance,Duke University,"Stephen Freedland, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14346&GroupID=SUMMARIES
998,GSK,Determination of minimally important difference for short form 36 and Facit Fatigue for Systemic lupus erythematosus,Rush University Medical Center,"Meenakshi Jolly, MD, MSCP",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14347&GroupID=SUMMARIES
999,"Boehringer Ingelheim, GSK",Assessing the Comparative Efficacy of Therapeutics for Chronic Obstructive Pulmonary Disease (COPD): A Meta-Analysis of Randomized Trials,Thomson Reuters,Kristen M Sweet,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14277&GroupID=SUMMARIES
1000,GSK,Review of fever and febrile convulsion rates in children after trivalent influenza vaccine.,"National Centre for Immunisation Research and Surveillance, The Children’s Hospital at Westmead","Dr Jean Li-Kim-Moy, MBBS, FRACP",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14348&GroupID=SUMMARIES
1002,GSK,Long-acting beta2-agonists and long-acting muscarinic antagonists in a combined inhaler versus either agent alone or placebo for chronic obstructive pulmonary disease,Kansas City University of Medicine & Biosciences,Michael Sarai,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14349&GroupID=SUMMARIES
1013,GSK,Biopsy Avoidance in Patients At Risk For Prostate Cancer and in Patients With Low Risk Prostate Cancer: Developing Tools for Personalized Medicine,"Princess Margaret Cancer Centre, University Health Network, Surgical Oncology, Urologist.","Girish Kilkarni, MD, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14350&GroupID=SUMMARIES
1015,GSK,"Pazopanib induced liver toxicity: incidence, pathogenesis and value of liver enzymes increase as a predictor of outcome in metastatic soft tissues sarcoma patients. A retrospective multi-centric study","Department of Medical Oncology
University Campus Bio-Medico
Via A. Del Portillo 200, 00128
Rome, Italy","Bruno Vincenzi, MD, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14351&GroupID=SUMMARIES
1016,GSK,Statistical methods for estimating the duration of protection of malaria vaccines: secondary analysis of data from the RTSS/AS02A trial in Mozambique.,London School of Hygiene and Tropical Medicine,Paul Milligan,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14352&GroupID=SUMMARIES
1020,GSK,Genomic prediction tools developed using phenotypes from disease progression models,University of Chicago,"Manish Sharma, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14353&GroupID=SUMMARIES
1022,Novartis,Prediction of maximal work load (Wmax)in a bicycle test in patients with COPD.,"Dept of Respiratory Medicine & Allergology
Lund University Hospital
22185 Lund, Sweden",Göran Eriksson,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14298&GroupID=SUMMARIES
1028,ViiV,Impact of dolutegravir on CD4+/CD8+ ratio and CD4+ percentage in HIV-infected naive patients.,"Hospital San Pedro - Center for Biomedical Research of La Rioja (CIBIR), SPAIN",José Ramón Blanco,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14354&GroupID=SUMMARIES
1053,GSK,Validation of the spirometric LMS equations in the Spanish population,"Respiratory department, Universitary Hospital of Araba",Dr. Patricia Sobradillo,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14355&GroupID=SUMMARIES
1057,GSK,Health-related utility and disutility value in metastatic renal cell carcinoma patient treated with pazopanib,"Department of Urology, Seoul National University Hospital, College of Medicine Seoul National University",Chang Wook Jeong,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14396&GroupID=SUMMARIES
1058,ViiV,Ritonavir-boosted protease inhibitor-based versus non-nucleoside reverse transcriptase inhibitor-based highly active antiretroviral therapy regimens: a systematic review and individual patient data me,"Centre for Health & Infectious Diseases Research
Rigshospitalet, University of Copenhagen
CHIP, Department of Infectious Diseases and Rheumatology,
Section 2100, Finsencentret
Blegdamsvej 9
DK-2100 Copenhagen Ø
Denmark",Alvaro H Borges,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14378&GroupID=SUMMARIES
1071,"Boehringer Ingelheim, GSK",Optimising the Analysis of vascular Prevention trials (OA-Prevention),University of Nottingham,Lisa Woodhouse,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14276&GroupID=SUMMARIES
1073,GSK,End-of-life trajectories in COPD,"CIRO+, centre of expertise for chronic organ failure; Maastricht University Medical Centre (MUMC+), Maastricht, the Netherlands",Dr. Daisy J.A. Janssen,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14356&GroupID=SUMMARIES
1075,Roche,Efficacy and Safety of Bevacizumab in the Elderly Cancer Patients: Pooled Analysis of Ten Randomized Clinical Trials,"Department of Biostatistics & Bioinformatics
Duke University",Xiaofei Wang,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14357&GroupID=SUMMARIES
1078,Lilly,Nocebo effects in the treatment of bipolar disorder: Results from an individual study participant level meta-analysis of the placebo arm of olanzapine clinical trials,"University Hospital Geelong, Australia",Seetal Dodd,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14358&GroupID=SUMMARIES
1079,ViiV,The effects of maraviroc versus efavirenz in combination with zidovudine/abacavir on the CD4/CD8 ratio in treatment-naïve HIV-infected individuals.,"Deparment of Infectious Diseases, University Hospital Ramón y Cajal, Madrid, Spaon.","Sergio Serrano-Villar, MD PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14392&GroupID=SUMMARIES
1084,GSK,Studies on the relationship between corticosteroids and unfavorable medical effects. A study based on the BLISS-52 and BLISS-76 clinical trials.,"Karolinska Institutet
Department of Medicine
Unit for Clinical Therapy Research, Inflammatory Diseases
(ClinTRID), D1:00, Karolinska University Hospital, Stockholm, Sweden","Ronald van Vollenhoven, MD, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14359&GroupID=SUMMARIES
1085,Roche,Optimized peg-interferon alpha-2a Treatment of Hepatitis C and Hepatitis B,The University of Jordan,"Mohammad I Saleh, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14360&GroupID=SUMMARIES
1086,ViiV,Abacavir HLA-B*57:01 tolerance and genetic variation within the MHC.,"Institute for Immunology & Infectious Diseases, Discovery Way, Murdoch, WA 6150","Elizabeth Phillips, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14361&GroupID=SUMMARIES
1088,GSK,A study to identify risk factors that modify Rotarix efficacy and influence the time to rotavirus gastroenteritis among vaccinated and unvaccinated African infants.,University of North Carolina at Chapel Hill,Joann Gruber,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14284&GroupID=SUMMARIES
1090,GSK,Validating the test-negative case-control design for estimating rotavirus vaccine effectiveness using gold-standard randomized controlled trial data from South Africa and Malawi (Rota-037),"Fred Hutchinson Cancer Research Center;
Department of Biostatistics, University of Washington",M. Elizabeth Halloran,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14362&GroupID=SUMMARIES
1100,Boehringer Ingelheim,Systolic blood pressure level and risk of intracerebral hemorrhage.,"Julius Center for Health Sciences and Primary Care
UMC Utrecht",Jacoba P Greving,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14387&GroupID=SUMMARIES
1103,GSK,A study on the possible association between antidepressant response to SSRIs and proneness for side effects,"Department of Pharmacology, Institute of Neuroscience and Physiology, University of Gothenburg, Gothenburg, Sweden","Elias Eriksson, MD, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14363&GroupID=SUMMARIES
1108,GSK,Correlation between SF-36 PCS and MCS scores and SELENA SLEDAI activity score in SLE: a meta-anaysis.,"Division of Clinical Immunology and Allergy, Department of Internal Medicine Specialties, University Hospital and School of Medicine, Geneva, Switzerland",Chaigne Benjamin,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=16138&GroupID=SUMMARIES
1125,Lilly,Initial severity and efficacy of antipsychotics for schizophrenia and bipolar mania: Individual participant level analyses of placebo-controlled studies.,Department of Psychiatry and Psychotherapy TU-München,Stefan Leucht,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14364&GroupID=SUMMARIES
1128,GSK,EuroTARGET GWAS on sunitinib pharmacogenetics in patients with metastatic renal cell carcinoma,Leiden University Medical Center (LUMC),Prof. H.J. Guchelaar,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14397&GroupID=SUMMARIES
1130,"GSK, UCB",Factors that determine placebo response in epilepsy trials,"Center for Biostatistics
Department of Population Health Science and Policy
Icahn School of Medicine at Mount Sinai 
One Gustave Levy Place, Box 1077 
New York, NY 10029",Emilia Bagiella,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14365&GroupID=SUMMARIES
1132,GSK,Cytokine patterns in anti-viral disease vaccines: a knowledge driven approach,"Division of Systems Medicine Chief
Department of Pediatrics
Stanford University","Atul J. Butte, MD, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14366&GroupID=SUMMARIES
1134,GSK,Incidence rate and risk factors associated with Hepatocellular carcinoma development in patients with Chronic Hpatitis C and severe thrombocytopenia: the lesson from Enable studies,"AO FBF e Oftalmico, Milano Italy","Prof. Savino Bruno, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14367&GroupID=SUMMARIES
1136,Takeda,Can Machine Learning Algorithms using General Labs Predict Clinical Remission and Mucosal Healing for Patients on Vedolizumab?,University of Michigan,Peter Higgins,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14283&GroupID=SUMMARIES
1137,GSK,"Immunotherapy trial simulators: Using mathematical, computational and statistical techniques to simulate trial design for new products in the treatment, vaccination and immunoprophylaxis of disease.",Imperial College London,"Roy Anderson, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14368&GroupID=SUMMARIES
1140,Boehringer Ingelheim,"Evaluation of the effect of incidental beta blocker use on clinical response to the EGFR TKI, afatinib",MD Anderson Cancer Center,"John Heymach, MD, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14321&GroupID=SUMMARIES
1141,GSK,Multivariate methods for meta-analysis of vaccine studies with multiple correlated outcomes,"Nuffield Department of Primary Care Health Sciences, University of Oxford",Merryn Voysey,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14293&GroupID=SUMMARIES
1142,"Boehringer Ingelheim, GSK, UCB",A meta-analysis of Parkinson’s disease,"Division of Systems Medicine
Department of Pediatrics
Stanford University",Atul Butte,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14279&GroupID=SUMMARIES
1148,Lilly,Meta-analysis of the risk of relapse in bipolar disorder,FIDMAG Germanes Hospitalàries & King’s College London,Dr. Joaquim Radua,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14379&GroupID=SUMMARIES
1152,Boehringer Ingelheim,Advanced analytic methods to refine phenotyping and risk prediction among patients with atrial fibrillation in the RE-LY trial,"Yale School of Medicine
Center for Outcomes Research and Evaluation","Nihar Desai, MD, MPH",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14369&GroupID=SUMMARIES
1154,GSK,Developing New Outcome Measures for SLE by Deconvoluting Available Datasets,Lupus Research Institute,"Peter E. Lipsky, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14370&GroupID=SUMMARIES
1157,GSK,Quality-adjusted survival analysis for patients with metastatic renal cell carcinoma treated in a phase III trial of pazopanib versus sunitinib (COMPARZ trial),"Department of Urology, Seoul National University Hospital, College of Medicine Seoul National University",Chang Wook Jeong,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14398&GroupID=SUMMARIES
1159,ViiV,Validation of Pharmacokinetic/Viral Dynamic Modeling and Simulation using the Dolutegravir Phase IIa Dataset,University of Alabama at Birmingham,"Edward P. Acosta, Pharm.D.",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14280&GroupID=SUMMARIES
1160,Boehringer Ingelheim,Development of a clinical decision support tool to identify patients at high risk of early or late bleeding complications from anticoagulation,"Department of Epidemiology and Biostatistics
College of Public Health
University of Georgia
Athens, GA 30602","Mark H. Ebell MD, MS",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14371&GroupID=SUMMARIES
1161,Roche,Novel approaches to the prediction of influenza complications,"Department of Epidemiology and Biostatistics
College of Public Health
University of Georgia
Athens, GA 30602",Mark H. Ebell,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14281&GroupID=SUMMARIES
1173,"GSK, Lilly",Initial severity and antidepressant efficacy for anxiety disorders: an individual patient data meta-analysis,"Interdisciplinary Center Psychopathology and Emotion regulation, Department of Psychiatry, University Medical Center Groningen, the Netherlands",Ymkje Anna de Vries,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14372&GroupID=SUMMARIES
1180,GSK,Evaluation of a platelet count threshold for bleeding risk in thrombocytopenic patients with chronic liver disease who undergo diagnostic and therapeutic invasive procedures.,"Department of Internal Medicine, University of Genoa, Genoa, Italy.",Edoardo G. Giannini,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14399&GroupID=SUMMARIES
1186,GSK,Using generalized pairwise comparisons to assess the benefit/risk balance of pazopanib vs sunitinib for patients with advanced or metastatic renal cell carcinoma,IDDI inc,Marc Buyse,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14400&GroupID=SUMMARIES
1206,GSK,Efficacy of Belimumab on Mucocutaneous Involvement in Patients with Systemic Lupus Erythematosus (MUCOBEL),"Interdisciplinary Center of Clinical Trials (IZKS), University Clinic of Mainz, Germany","Kuhn, Annegret",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14285&GroupID=SUMMARIES
1224,GSK,INTERACTION BETWEEN MENINGOCOCCAL SEROGROUP B VACCINE (BEXSERO™) AND ROUTINE INFANT VACCINES ON THE RISK OF OCCURRENCE AND RECURRENCE OF ADVERSE EVENTS FOLLOWING IMMUNIZATION.,"Institut National de Santé Publique du Québec(INSPQ)
and
Laval University",Gaston De Serres,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14401&GroupID=SUMMARIES
1234,Lilly,Predictors of Placebo Response in Pediatric Patients with Generalized Anxiety Disorder,University of Cincinnati,Jeffrey R. Strawn,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14282&GroupID=SUMMARIES
1236,GSK,COPERNICUS re-analysis,"Magdi Yacoub Institute - Heart Science Centre
National Heart & Lung Institute (Myocardial Function Section)
Harefield Hospital
Hill End Road
Harefield, Middlesex, UB9 6JH",John Cleland,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14286&GroupID=SUMMARIES
1250,"Boehringer Ingelheim, Lilly",The relationship of treatment effects and per capita income of study countries in duloxetine trials in the treatment of depressed patients,"Department of Psychiatry II, Ulm University",Markus Koesters,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14402&GroupID=SUMMARIES
1256,GSK,Population mechanistic heamatotoxicity modeling of Dapsone in G6PD deficiency patients,"Head of Department, Department of Clinical Pharmacology, Mahidol-Oxford Tropical Medicine research Unit (MORU)",Joel Tarning,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14403&GroupID=SUMMARIES
1257,GSK,An independent evaluation of the cardiovascular risk of rosiglitazone: meta-analysis of GSK’s publicly available clinical trial data,"Yale University School of Medicine
Yale-New Haven Hospital Center for Outcomes Research and Evaluation","Joseph S. Ross, MD, MHS",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14287&GroupID=SUMMARIES
1258,Roche,Advance lung cancer inflammation index (ALI) in metastatic non-squamous lung cancer: A validation study,"University of Texas, Houston, Texas, USA",Syed Hasan Raza Jafri,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14292&GroupID=SUMMARIES
1273,GSK,Post-hoc analysis of placebo-controlled trials in children and adolescents with depression,University of Gothenburg,Elias Eriksson,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14288&GroupID=SUMMARIES
1277,Roche,"Immunotherapy trial simulators: Using mathematical, computational and statistical techniques to simulate trial design for new products in the treatment, vaccination and immunoprophylaxis of disease.",Imperial College London,Roy Anderson,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14404&GroupID=SUMMARIES
1280,GSK,Placebo and nocebo effects in migraine Ver 2,"University Hospitals Tuebingen
Dept. of Internal Medicine
Tuebingen, Germany",Paul Enck,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14289&GroupID=SUMMARIES
1292,Lilly,Applications of Item Response Theory to Clinical ADHD Research: Analysis of the ADHDRS-IV and Modeling Response to Treatments and Item-Level Treatment Sensitivity,"University of California, Los Angeles",Alex Sturm,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14314&GroupID=SUMMARIES
1293,Roche,INCIDENCE OF BRAIN METASTASES IN METASTATIC BREAST CANCER PATIENTS RECEIVING PALLIATIVE CHEMOTHERAPY WITH OR WITHOUT BEVACIZUMAB: A METAANYLSIS OF FIVE PROSPECTIVE RANDOMIZED PHASE III TRIALS,"Medical University of Vienna, Comprehensive Cancer Center Vienna",Rupert Bartsch,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14405&GroupID=SUMMARIES
1295,Boehringer Ingelheim,A Swapping Method Based on Covariate Classification for Average TreatmentEffect Estimation.,"University of Maryland, Baltimore County (UMBC), Department of Mathematics and statistics",Dr. Bimal Sinha,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14291&GroupID=SUMMARIES
1307,Takeda,The Efficacy and Safety of Dipeptidyl Peptidase-4 Inhibitors in the Treatment of Type 2 Diabetes Mellitus in Patients with Chronic Kidney Disease,Seven Oaks General Hospital Renal Program,Dr. Navdeep Tangri,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14406&GroupID=SUMMARIES
1316,Boehringer Ingelheim,Blinding (Masking) and the Placebo Effect,University of Michigan Medical School,"James Brian Byrd, MD, MS, FAHA, FACC",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14407&GroupID=SUMMARIES
1320,GSK,Utility of a measure of Lupus Low Disease Activity State in SLE,Monash Health,Pei Xuan Ong (Emily),http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14408&GroupID=SUMMARIES
